city,bed,bath,garage,sqft,pool,spa,price
Long Beach,1,1,NA,664,NA,NA,109000
Long Beach,1,1,NA,667,NA,NA,199900
Long Beach,1,1,NA,667,NA,NA,350000
Long Beach,1,1,NA,670,NA,NA,155900
Long Beach,1,1,NA,680,NA,NA,239000
Long Beach,1,1,NA,693,NA,NA,220000
Long Beach,1,1,NA,693,NA,NA,229900
Long Beach,1,1,NA,693,NA,NA,245000
Long Beach,1,1,NA,700,NA,NA,125000
Long Beach,1,1,NA,707,NA,NA,185000
Long Beach,1,1,NA,710,NA,NA,195000
Long Beach,1,1,NA,739,NA,NA,179000
Long Beach,1,1,NA,741,NA,NA,165000
Long Beach,1,1,NA,745,NA,NA,199900
Long Beach,1,1,NA,745,NA,NA,200000
Long Beach,1,1,NA,751,NA,NA,221000
Long Beach,1,1,NA,752,NA,NA,225900
Long Beach,1,1,NA,772,NA,NA,169000
Long Beach,1,1,NA,779,NA,NA,124900
Long Beach,1,1,NA,787,NA,NA,167000
Long Beach,1,1,NA,792,NA,NA,109000
Long Beach,1,1,NA,811,NA,NA,145000
Long Beach,1,1,NA,839,NA,NA,335000
Long Beach,1,1,NA,864,NA,NA,249000
Long Beach,1,1,NA,981,NA,NA,216000
Long Beach,1,1,NA,1069,NA,NA,330000
Long Beach,1,1,1,530,NA,NA,175000
Long Beach,1,1,1,540,NA,NA,165000
Long Beach,1,1,1,590,NA,NA,236900
Long Beach,1,1,1,592,NA,NA,175000
Long Beach,1,1,1,597,NA,NA,130000
Long Beach,1,1,1,597,NA,NA,140000
Long Beach,1,1,1,597,NA,NA,149900
Long Beach,1,1,1,597,NA,NA,150000
Long Beach,1,1,1,600,NA,NA,244900
Long Beach,1,1,1,600,NA,NA,279900
Long Beach,1,1,1,600,NA,NA,285000
Long Beach,1,1,1,600,NA,NA,325000
Long Beach,1,1,1,607,NA,NA,150000
Long Beach,1,1,1,613,NA,NA,119000
Long Beach,1,1,1,632,NA,NA,129000
Long Beach,1,1,1,660,NA,NA,110000
Long Beach,1,1,1,660,NA,NA,112900
Long Beach,1,1,1,661,NA,NA,150000
Long Beach,1,1,1,672,NA,NA,379995
Long Beach,1,1,1,680,NA,NA,204900
Long Beach,1,1,1,680,NA,NA,235000
Long Beach,1,1,1,680,NA,NA,239000
Long Beach,1,1,1,680,NA,NA,249000
Long Beach,1,1,1,680,NA,NA,249900
Long Beach,1,1,1,680,NA,NA,250000
Long Beach,1,1,1,681,NA,NA,320000
Long Beach,1,1,1,683,NA,NA,119000
Long Beach,1,1,1,686,NA,NA,119500
Long Beach,1,1,1,686,NA,NA,189000
Long Beach,1,1,1,687,NA,NA,125000
Long Beach,1,1,1,693,NA,NA,230000
Long Beach,1,1,1,693,NA,NA,245000
Long Beach,1,1,1,698,NA,NA,175000
Long Beach,1,1,1,703,NA,NA,374000
Long Beach,1,1,1,707,NA,NA,130000
Long Beach,1,1,1,719,NA,NA,359000
Long Beach,1,1,1,732,NA,NA,248900
Long Beach,1,1,1,739,NA,NA,249500
Long Beach,1,1,1,741,NA,NA,319990
Long Beach,1,1,1,754,NA,NA,100000
Long Beach,1,1,1,789,NA,NA,309000
Long Beach,1,1,1,792,NA,NA,428900
Long Beach,1,1,1,816,NA,NA,224900
Long Beach,1,1,1,825,NA,NA,230000
Long Beach,1,1,1,832,NA,NA,125000
Long Beach,1,1,1,833,NA,NA,189000
Long Beach,1,1,1,846,NA,NA,325000
Long Beach,1,1,1,873,NA,NA,224000
Long Beach,1,1,1,875,NA,NA,229000
Long Beach,1,1,1,890,NA,NA,150000
Long Beach,1,1,1,938,NA,NA,249900
Long Beach,1,1,1,1000,NA,NA,345000
Long Beach,1,1,1,1020,NA,NA,279900
Long Beach,1,1,1,1400,NA,NA,299000
Long Beach,1,1,2,624,NA,NA,109000
Long Beach,1,1,2,693,Y,NA,240000
Long Beach,1,1,2,736,NA,NA,458000
Long Beach,1,1,2,750,NA,NA,480000
Long Beach,1,1,2,793,NA,NA,119900
Long Beach,1,1,2,926,NA,NA,269000
Long Beach,1,1,2,926,NA,NA,270000
Long Beach,1,1,2,926,NA,NA,324000
Long Beach,1,1.5,NA,1620,NA,NA,399900
Long Beach,1,2,NA,880,NA,NA,279000
Long Beach,1,2,NA,950,NA,NA,240000
Long Beach,1,2,NA,952,NA,NA,250000
Long Beach,1,2,NA,1017,NA,NA,279000
Long Beach,1,2,NA,1047,NA,NA,309900
Long Beach,1,2,1,584,NA,NA,110000
Long Beach,1,2,1,731,NA,NA,222000
Long Beach,1,2,1,791,NA,NA,275000
Long Beach,1,2,1,853,NA,NA,139000
Long Beach,1,2,1,880,NA,NA,299900
Long Beach,1,2,2,880,NA,NA,309000
Long Beach,1,2,2,1044,NA,NA,184900
Long Beach,1,3,NA,1570,NA,NA,325000
Long Beach,2,1,NA,760,NA,NA,199900
Long Beach,2,1,NA,769,NA,NA,199000
Long Beach,2,1,NA,779,NA,NA,250000
Long Beach,2,1,NA,849,NA,NA,185000
Long Beach,2,1,NA,860,NA,NA,159000
Long Beach,2,1,1,779,NA,NA,109000
Long Beach,2,1,1,800,NA,NA,119000
Long Beach,2,1,1,806,NA,NA,179000
Long Beach,2,1,1,830,NA,NA,174900
Long Beach,2,1,1,840,NA,NA,350000
Long Beach,2,1,1,879,NA,NA,205000
Long Beach,2,1,1,892,NA,NA,150000
Long Beach,2,1,1,906,NA,NA,195000
Long Beach,2,1,1,910,NA,NA,297000
Long Beach,2,1,1,941,NA,NA,285000
Long Beach,2,1,2,859,NA,NA,199000
Long Beach,2,1,2,860,NA,NA,225000
Long Beach,2,1,2,957,NA,NA,348000
Long Beach,2,1,2,1291,NA,NA,399000
Long Beach,2,2,NA,680,NA,NA,106000
Long Beach,2,2,NA,680,NA,NA,129900
Long Beach,2,2,NA,690,NA,NA,120000
Long Beach,2,2,NA,720,NA,NA,137900
Long Beach,2,2,NA,777,NA,NA,134900
Long Beach,2,2,NA,780,NA,NA,149900
Long Beach,2,2,NA,786,NA,NA,174900
Long Beach,2,2,NA,830,NA,NA,144900
Long Beach,2,2,NA,838,NA,NA,225000
Long Beach,2,2,NA,840,NA,NA,161000
Long Beach,2,2,NA,840,NA,NA,169000
Long Beach,2,2,NA,850,NA,NA,139900
Long Beach,2,2,NA,865,NA,NA,350000
Long Beach,2,2,NA,877,NA,NA,125000
Long Beach,2,2,NA,892,NA,NA,179000
Long Beach,2,2,NA,903,NA,NA,169900
Long Beach,2,2,NA,920,NA,NA,129000
Long Beach,2,2,NA,920,NA,NA,135000
Long Beach,2,2,NA,940,NA,NA,159000
Long Beach,2,2,NA,960,NA,NA,129000
Long Beach,2,2,NA,990,NA,NA,169000
Long Beach,2,2,NA,1020,NA,NA,160000
Long Beach,2,2,NA,1047,NA,NA,334900
Long Beach,2,2,NA,1080,NA,NA,329000
Long Beach,2,2,NA,1080,NA,NA,729000
Long Beach,2,2,NA,1146,NA,NA,175000
Long Beach,2,2,NA,1171,NA,NA,249900
Long Beach,2,2,NA,1184,NA,NA,279900
Long Beach,2,2,NA,1198,NA,NA,223100
Long Beach,2,2,NA,1251,NA,NA,231900
Long Beach,2,2,NA,1253,NA,NA,315000
Long Beach,2,2,NA,1264,NA,NA,1150000
Long Beach,2,2,NA,1340,NA,NA,500000
Long Beach,2,2,NA,1590,NA,NA,699000
Long Beach,2,2,1,750,NA,NA,219900
Long Beach,2,2,1,751,NA,NA,145000
Long Beach,2,2,1,751,NA,NA,147900
Long Beach,2,2,1,782,NA,NA,130000
Long Beach,2,2,1,794,NA,NA,275000
Long Beach,2,2,1,800,NA,NA,175000
Long Beach,2,2,1,827,NA,NA,119900
Long Beach,2,2,1,830,NA,NA,239000
Long Beach,2,2,1,842,NA,NA,120000
Long Beach,2,2,1,856,NA,NA,210000
Long Beach,2,2,1,880,NA,NA,139000
Long Beach,2,2,1,898,NA,NA,154900
Long Beach,2,2,1,909,NA,NA,109000
Long Beach,2,2,1,909,NA,NA,289000
Long Beach,2,2,1,913,NA,NA,220000
Long Beach,2,2,1,920,NA,NA,219182
Long Beach,2,2,1,923,NA,NA,194900
Long Beach,2,2,1,937,NA,NA,169000
Long Beach,2,2,1,942,NA,NA,110000
Long Beach,2,2,1,954,NA,NA,250000
Long Beach,2,2,1,954,NA,NA,349000
Long Beach,2,2,1,956,NA,NA,182000
Long Beach,2,2,1,960,NA,NA,399900
Long Beach,2,2,1,961,NA,NA,379990
Long Beach,2,2,1,982,NA,NA,175000
Long Beach,2,2,1,990,NA,NA,359000
Long Beach,2,2,1,1010,NA,NA,159900
Long Beach,2,2,1,1014,NA,NA,155000
Long Beach,2,2,1,1016,NA,NA,185000
Long Beach,2,2,1,1018,NA,NA,395000
Long Beach,2,2,1,1035,NA,NA,529900
Long Beach,2,2,1,1040,NA,NA,599000
Long Beach,2,2,1,1045,NA,NA,260000
Long Beach,2,2,1,1060,NA,NA,549000
Long Beach,2,2,1,1074,NA,NA,280000
Long Beach,2,2,1,1076,NA,NA,309000
Long Beach,2,2,1,1080,NA,NA,279000
Long Beach,2,2,1,1080,NA,NA,648800
Long Beach,2,2,1,1081,NA,NA,290000
Long Beach,2,2,1,1116,NA,NA,580000
Long Beach,2,2,1,1156,NA,NA,299000
Long Beach,2,2,1,1158,NA,NA,435000
Long Beach,2,2,1,1178,NA,NA,309900
Long Beach,2,2,1,1192,NA,NA,225000
Long Beach,2,2,1,1274,NA,NA,449000
Long Beach,2,2,1,1300,NA,NA,895000
Long Beach,2,2,1,1325,NA,NA,389700
Long Beach,2,2,1,1360,NA,NA,379000
Long Beach,2,2,1,1410,NA,NA,385000
Long Beach,2,2,1,1413,NA,NA,769000
Long Beach,2,2,1,1510,NA,NA,469000
Long Beach,2,2,1,1510,NA,NA,555000
Long Beach,2,2,1,1510,NA,NA,559000
Long Beach,2,2,2,680,NA,NA,120000
Long Beach,2,2,2,680,NA,NA,124900
Long Beach,2,2,2,680,NA,NA,125000
Long Beach,2,2,2,784,NA,NA,199000
Long Beach,2,2,2,820,NA,NA,100000
Long Beach,2,2,2,820,NA,NA,165000
Long Beach,2,2,2,827,NA,NA,129900
Long Beach,2,2,2,834,NA,NA,199000
Long Beach,2,2,2,840,NA,NA,160000
Long Beach,2,2,2,840,NA,NA,170000
Long Beach,2,2,2,860,NA,NA,139900
Long Beach,2,2,2,860,NA,NA,209900
Long Beach,2,2,2,869,NA,NA,200000
Long Beach,2,2,2,880,NA,NA,275000
Long Beach,2,2,2,888,NA,NA,235128
Long Beach,2,2,2,892,NA,NA,180000
Long Beach,2,2,2,898,NA,NA,160000
Long Beach,2,2,2,902,NA,NA,175000
Long Beach,2,2,2,904,NA,NA,185000
Long Beach,2,2,2,906,NA,NA,189000
Long Beach,2,2,2,910,NA,NA,137900
Long Beach,2,2,2,913,NA,NA,159000
Long Beach,2,2,2,913,NA,NA,200000
Long Beach,2,2,2,920,NA,NA,185000
Long Beach,2,2,2,920,NA,NA,255000
Long Beach,2,2,2,930,NA,NA,156800
Long Beach,2,2,2,930,NA,NA,169000
Long Beach,2,2,2,930,NA,NA,225000
Long Beach,2,2,2,930,NA,NA,225000
Long Beach,2,2,2,954,NA,NA,260000
Long Beach,2,2,2,957,NA,NA,195000
Long Beach,2,2,2,957,NA,NA,280000
Long Beach,2,2,2,960,NA,NA,169900
Long Beach,2,2,2,960,NA,NA,265000
Long Beach,2,2,2,961,NA,NA,189900
Long Beach,2,2,2,978,NA,NA,180000
Long Beach,2,2,2,985,NA,NA,255000
Long Beach,2,2,2,990,NA,NA,159000
Long Beach,2,2,2,1000,NA,NA,230000
Long Beach,2,2,2,1000,NA,NA,425000
Long Beach,2,2,2,1014,NA,NA,155000
Long Beach,2,2,2,1014,NA,NA,169000
Long Beach,2,2,2,1015,NA,NA,185000
Long Beach,2,2,2,1020,NA,NA,449000
Long Beach,2,2,2,1020,NA,NA,629900
Long Beach,2,2,2,1022,NA,NA,289000
Long Beach,2,2,2,1023,NA,NA,188000
Long Beach,2,2,2,1028,NA,NA,311900
Long Beach,2,2,2,1028,NA,NA,314900
Long Beach,2,2,2,1028,NA,NA,330000
Long Beach,2,2,2,1029,NA,NA,359000
Long Beach,2,2,2,1040,NA,NA,343000
Long Beach,2,2,2,1048,NA,NA,179800
Long Beach,2,2,2,1049,NA,NA,175000
Long Beach,2,2,2,1050,NA,NA,225000
Long Beach,2,2,2,1052,NA,NA,345000
Long Beach,2,2,2,1053,NA,NA,225000
Long Beach,2,2,2,1065,NA,NA,230000
Long Beach,2,2,2,1070,NA,NA,290000
Long Beach,2,2,2,1070,NA,NA,360000
Long Beach,2,2,2,1070,NA,NA,435000
Long Beach,2,2,2,1070,NA,NA,479900
Long Beach,2,2,2,1079,NA,NA,249900
Long Beach,2,2,2,1080,NA,NA,356001
Long Beach,2,2,2,1098,NA,NA,325000
Long Beach,2,2,2,1100,NA,NA,235000
Long Beach,2,2,2,1121,NA,NA,325000
Long Beach,2,2,2,1146,NA,NA,340000
Long Beach,2,2,2,1151,NA,NA,299500
Long Beach,2,2,2,1155,NA,NA,219900
Long Beach,2,2,2,1160,NA,NA,349000
Long Beach,2,2,2,1200,NA,NA,385110
Long Beach,2,2,2,1206,NA,NA,379000
Long Beach,2,2,2,1217,NA,NA,390000
Long Beach,2,2,2,1227,NA,NA,369900
Long Beach,2,2,2,1231,NA,NA,310000
Long Beach,2,2,2,1251,NA,NA,639900
Long Beach,2,2,2,1286,NA,NA,159900
Long Beach,2,2,2,1313,NA,NA,527000
Long Beach,2,2,2,1333,NA,NA,250000
Long Beach,2,2,2,1340,NA,NA,621500
Long Beach,2,2,2,1400,NA,NA,375000
Long Beach,2,2,2,1400,NA,NA,457500
Long Beach,2,2,2,1400,NA,NA,519900
Long Beach,2,2,2,1443,NA,NA,988000
Long Beach,2,2,2,1509,NA,NA,439000
Long Beach,2,2,2,1540,NA,NA,895000
Long Beach,2,2,2,1542,NA,NA,699000
Long Beach,2,2,2,1542,NA,NA,735000
Long Beach,2,2,2,1619,NA,NA,369990
Long Beach,2,2.5,NA,1332,NA,NA,389900
Long Beach,2,3,NA,979,NA,NA,175000
Long Beach,2,3,1,1206,NA,NA,395000
Long Beach,2,3,1,1300,NA,NA,875000
Long Beach,2,3,1,1300,NA,NA,875000
Long Beach,2,3,2,949,NA,NA,195000
Long Beach,2,3,2,1020,NA,NA,230000
Long Beach,2,3,2,1056,NA,NA,199000
Long Beach,2,3,2,1284,NA,NA,372000
Long Beach,2,3,2,1290,NA,NA,375000
Long Beach,2,3,2,1290,NA,NA,399900
Long Beach,2,3,2,1293,NA,NA,179999
Long Beach,2,3,2,1320,NA,NA,371000
Long Beach,2,3,2,1391,NA,NA,299000
Long Beach,2,3,2,1474,NA,NA,400000
Long Beach,2,3,2,1700,NA,NA,599000
Long Beach,2,3,2,1741,NA,NA,849000
Long Beach,2,3,2,2000,NA,NA,995000
Long Beach,2,3,2,3055,NA,NA,2100000
Long Beach,3,2,NA,1260,NA,NA,325000
Long Beach,3,2,NA,1310,NA,NA,335000
Long Beach,3,2,NA,1638,NA,NA,459900
Long Beach,3,2,NA,1724,NA,NA,549000
Long Beach,3,2,1,1102,NA,NA,327000
Long Beach,3,2,1,1122,NA,NA,348000
Long Beach,3,2,1,1406,NA,NA,439000
Long Beach,3,2,1,1484,NA,NA,529000
Long Beach,3,2,1,1910,NA,NA,395000
Long Beach,3,2,2,1040,NA,NA,255000
Long Beach,3,2,2,1120,NA,NA,339000
Long Beach,3,2,2,1158,NA,NA,300000
Long Beach,3,2,2,1260,NA,NA,419000
Long Beach,3,2,2,1260,NA,NA,649000
Long Beach,3,2,2,1260,NA,NA,699500
Long Beach,3,2,2,1282,NA,NA,799000
Long Beach,3,2,2,1319,NA,NA,589000
Long Beach,3,2,2,1340,NA,NA,1150000
Long Beach,3,2,2,1380,NA,NA,349000
Long Beach,3,2,2,1400,NA,NA,559000
Long Beach,3,2,2,1425,NA,NA,899000
Long Beach,3,2,2,1551,NA,NA,649990
Long Beach,3,2,2,1551,NA,NA,995000
Long Beach,3,2,2,1551,NA,NA,1100000
Long Beach,3,2,2,1558,NA,NA,564500
Long Beach,3,2,2,1592,NA,NA,579900
Long Beach,3,2,2,1652,NA,NA,1165000
Long Beach,3,2,2,1957,NA,NA,315000
Long Beach,3,2.5,NA,1436,NA,NA,319000
Long Beach,3,3,NA,1640,NA,NA,338000
Long Beach,3,3,NA,2360,NA,NA,685000
Long Beach,3,3,2,1519,NA,NA,149900
Long Beach,3,3,2,1728,NA,NA,539000
Long Beach,3,3,2,1728,NA,NA,619000
Long Beach,3,3,2,1735,NA,NA,1300000
Long Beach,3,3,2,1748,NA,NA,995000
Long Beach,3,3,2,1800,NA,NA,450000
Long Beach,3,3,2,1800,NA,NA,1250000
Long Beach,3,3,2,2068,NA,NA,645000
Long Beach,3,3,2,2220,NA,NA,899000
Long Beach,3,3,2,2350,NA,NA,1049000
Long Beach,3,3,2,3290,NA,NA,1999999
Long Beach,3,3,2,3490,NA,NA,1850000
Long Beach,3,4,2,2026,NA,NA,450000
Long Beach,4,2,NA,1090,NA,NA,147500
Long Beach,4,3,2,2043,NA,NA,475000
Long Beach,4,3,2,2078,NA,NA,495000
Long Beach,4,4,2,2068,NA,NA,770000
Long Beach,1,1,NA,578,NA,NA,157290
Long Beach,1,1,NA,606,NA,NA,140000
Long Beach,1,1,NA,608,NA,NA,132500
Long Beach,1,1,NA,646,NA,NA,140000
Long Beach,1,1,NA,746,NA,NA,152000
Long Beach,1,1,1,528,NA,NA,154900
Long Beach,1,1,1,549,NA,NA,439900
Long Beach,1,1,1,624,NA,NA,131900
Long Beach,1,1,1,681,NA,NA,210000
Long Beach,1,1,1,888,NA,NA,409000
Long Beach,2,1,NA,560,NA,NA,115000
Long Beach,2,1,NA,638,NA,NA,149000
Long Beach,2,1,NA,706,NA,NA,224900
Long Beach,2,1,NA,714,NA,NA,119900
Long Beach,2,1,NA,714,NA,NA,185000
Long Beach,2,1,NA,722,NA,NA,195000
Long Beach,2,1,NA,771,NA,NA,220000
Long Beach,2,1,NA,810,NA,NA,299000
Long Beach,2,1,NA,814,NA,NA,244900
Long Beach,2,1,NA,825,NA,NA,189000
Long Beach,2,1,NA,825,NA,NA,230000
Long Beach,2,1,NA,825,NA,NA,240000
Long Beach,2,1,NA,848,NA,NA,336000
Long Beach,2,1,NA,856,NA,NA,120000
Long Beach,2,1,NA,914,NA,NA,210000
Long Beach,2,1,NA,968,NA,NA,599900
Long Beach,2,1,NA,1044,NA,NA,390000
Long Beach,2,1,NA,1047,NA,NA,246900
Long Beach,2,1,NA,1048,NA,NA,250000
Long Beach,2,1,NA,1556,NA,NA,526000
Long Beach,2,1,1,648,NA,NA,149900
Long Beach,2,1,1,655,NA,NA,139900
Long Beach,2,1,1,672,NA,NA,125000
Long Beach,2,1,1,744,NA,NA,209000
Long Beach,2,1,1,764,NA,NA,149900
Long Beach,2,1,1,766,NA,NA,200000
Long Beach,2,1,1,796,NA,NA,150000
Long Beach,2,1,1,800,NA,NA,209000
Long Beach,2,1,1,800,NA,NA,220000
Long Beach,2,1,1,804,NA,NA,389000
Long Beach,2,1,1,815,NA,NA,130000
Long Beach,2,1,1,816,NA,NA,219850
Long Beach,2,1,1,825,NA,NA,129000
Long Beach,2,1,1,829,NA,NA,260000
Long Beach,2,1,1,850,NA,NA,210000
Long Beach,2,1,1,852,NA,NA,130000
Long Beach,2,1,1,856,NA,NA,180000
Long Beach,2,1,1,864,NA,NA,209900
Long Beach,2,1,1,864,NA,NA,450000
Long Beach,2,1,1,868,NA,NA,280000
Long Beach,2,1,1,870,NA,NA,159000
Long Beach,2,1,1,884,NA,NA,154300
Long Beach,2,1,1,888,NA,NA,220000
Long Beach,2,1,1,892,NA,NA,369900
Long Beach,2,1,1,908,NA,NA,400000
Long Beach,2,1,1,938,NA,NA,190000
Long Beach,2,1,1,940,NA,NA,399000
Long Beach,2,1,1,954,NA,NA,275000
Long Beach,2,1,1,959,NA,NA,649990
Long Beach,2,1,1,960,NA,NA,315000
Long Beach,2,1,1,982,NA,NA,268900
Long Beach,2,1,1,1062,NA,NA,199000
Long Beach,2,1,1,1068,NA,NA,169900
Long Beach,2,1,1,1090,NA,NA,180000
Long Beach,2,1,1,1104,NA,NA,165000
Long Beach,2,1,1,1134,NA,NA,300000
Long Beach,2,1,1,1176,NA,NA,290000
Long Beach,2,1,1,1180,NA,NA,549000
Long Beach,2,1,1,1200,NA,NA,749000
Long Beach,2,1,1,1317,NA,NA,215000
Long Beach,2,1,1,1444,NA,NA,195000
Long Beach,2,1,2,672,NA,NA,185000
Long Beach,2,1,2,696,NA,NA,269900
Long Beach,2,1,2,704,NA,NA,180000
Long Beach,2,1,2,720,NA,NA,160000
Long Beach,2,1,2,724,NA,NA,190000
Long Beach,2,1,2,750,NA,NA,175000
Long Beach,2,1,2,756,NA,NA,195000
Long Beach,2,1,2,760,NA,NA,219900
Long Beach,2,1,2,768,NA,NA,199000
Long Beach,2,1,2,789,NA,NA,225000
Long Beach,2,1,2,803,NA,NA,220000
Long Beach,2,1,2,808,NA,NA,389000
Long Beach,2,1,2,812,NA,NA,229900
Long Beach,2,1,2,842,NA,NA,135000
Long Beach,2,1,2,858,NA,NA,469900
Long Beach,2,1,2,861,NA,NA,299999
Long Beach,2,1,2,863,NA,NA,345000
Long Beach,2,1,2,874,NA,NA,149999
Long Beach,2,1,2,887,NA,NA,399900
Long Beach,2,1,2,887,NA,NA,459000
Long Beach,2,1,2,894,NA,NA,180000
Long Beach,2,1,2,900,NA,NA,260000
Long Beach,2,1,2,903,NA,NA,209900
Long Beach,2,1,2,908,NA,NA,245000
Long Beach,2,1,2,914,NA,NA,189000
Long Beach,2,1,2,916,NA,NA,260000
Long Beach,2,1,2,928,NA,NA,135000
Long Beach,2,1,2,928,NA,NA,199000
Long Beach,2,1,2,929,NA,NA,386900
Long Beach,2,1,2,935,NA,NA,259000
Long Beach,2,1,2,940,NA,NA,289000
Long Beach,2,1,2,948,NA,NA,215000
Long Beach,2,1,2,952,NA,NA,199000
Long Beach,2,1,2,956,NA,NA,389990
Long Beach,2,1,2,957,NA,NA,350000
Long Beach,2,1,2,960,NA,NA,199000
Long Beach,2,1,2,967,NA,NA,209800
Long Beach,2,1,2,976,NA,NA,275000
Long Beach,2,1,2,986,NA,NA,229900
Long Beach,2,1,2,988,NA,NA,155000
Long Beach,2,1,2,998,NA,NA,477900
Long Beach,2,1,2,999,NA,NA,349900
Long Beach,2,1,2,1000,NA,NA,156750
Long Beach,2,1,2,1012,NA,NA,425000
Long Beach,2,1,2,1030,NA,NA,320000
Long Beach,2,1,2,1030,NA,NA,379000
Long Beach,2,1,2,1036,NA,NA,310000
Long Beach,2,1,2,1042,NA,NA,299000
Long Beach,2,1,2,1060,NA,NA,260000
Long Beach,2,1,2,1064,NA,NA,299000
Long Beach,2,1,2,1092,NA,NA,419900
Long Beach,2,1,2,1093,NA,NA,240000
Long Beach,2,1,2,1098,NA,NA,250000
Long Beach,2,1,2,1116,NA,NA,350000
Long Beach,2,1,2,1121,NA,NA,259900
Long Beach,2,1,2,1122,NA,NA,499900
Long Beach,2,1,2,1128,NA,NA,429000
Long Beach,2,1,2,1138,NA,NA,296900
Long Beach,2,1,2,1140,NA,NA,289000
Long Beach,2,1,2,1149,NA,NA,330000
Long Beach,2,1,2,1176,NA,NA,434000
Long Beach,2,1,2,1178,NA,NA,340000
Long Beach,2,1,2,1182,NA,NA,249999
Long Beach,2,1,2,1200,NA,NA,349900
Long Beach,2,1,2,1210,NA,NA,187900
Long Beach,2,1,2,1247,NA,NA,449999
Long Beach,2,1,2,1250,NA,NA,1049900
Long Beach,2,1,2,1262,NA,NA,649900
Long Beach,2,1,2,1341,NA,NA,270000
Long Beach,2,1,2,1394,NA,NA,449000
Long Beach,2,1,2,1400,NA,NA,349999
Long Beach,2,2,NA,960,NA,NA,249000
Long Beach,2,2,NA,968,NA,NA,180000
Long Beach,2,2,NA,972,NA,NA,195000
Long Beach,2,2,NA,1044,NA,NA,529000
Long Beach,2,2,NA,1164,NA,NA,235000
Long Beach,2,2,NA,1375,NA,NA,205000
Long Beach,2,2,1,618,NA,NA,119000
Long Beach,2,2,1,775,NA,NA,149900
Long Beach,2,2,1,850,NA,NA,425000
Long Beach,2,2,1,864,NA,NA,455000
Long Beach,2,2,1,1066,Y,NA,219000
Long Beach,2,2,1,1082,NA,NA,210000
Long Beach,2,2,1,1115,NA,NA,169000
Long Beach,2,2,1,1147,NA,NA,749000
Long Beach,2,2,1,1186,NA,NA,649900
Long Beach,2,2,1,1188,NA,NA,380000
Long Beach,2,2,1,1189,NA,NA,299000
Long Beach,2,2,1,1274,NA,NA,234600
Long Beach,2,2,1,1303,NA,NA,304900
Long Beach,2,2,1,1464,NA,NA,225000
Long Beach,2,2,1,1600,NA,NA,875000
Long Beach,2,2,1,1738,NA,NA,769000
Long Beach,2,2,2,924,NA,NA,189000
Long Beach,2,2,2,936,NA,NA,369000
Long Beach,2,2,2,955,NA,NA,220000
