"id","college","income","overage","leftover","house","handset_price","over_15mins_calls_per_month","average_call_duration","reported_satisfaction","reported_usage_level","considering_change_of_plan","leave"
7071,"one",30839,58,0,198625,184,NA,14,"very_sat","little","considering","LEAVE"
2538,"one",150563,84,0,851607,618,NA,15,"sat","little","no","LEAVE"
260,"zero",105816,67,0,912387,571,4,12,"very_sat","very_high","actively_looking_into_it","LEAVE"
6178,NA,27280,62,0,NA,210,5,1,NA,"very_little","considering","LEAVE"
5235,"zero",79854,46,0,166178,260,5,12,"sat","very_little","considering","STAY"
4792,"zero",47451,166,17,282251,381,12,1,"unsat",NA,"no","LEAVE"
10306,"one",38624,47,88,433348,200,3,2,"very_unsat","little","considering","STAY"
10687,NA,125384,61,41,782532,537,3,2,"very_sat","little","considering","LEAVE"
3576,"zero",48287,187,23,782996,208,18,4,"unsat","little","actively_looking_into_it","STAY"
2521,"zero",38860,181,72,190087,330,25,2,"very_unsat","little",NA,"LEAVE"
8587,"zero",22955,231,12,762471,220,21,5,"very_unsat","very_high","actively_looking_into_it","STAY"
10488,"one",37683,239,29,NA,153,21,1,"unsat","high",NA,"STAY"
8461,"one",27619,69,0,751375,164,5,9,NA,"very_high","considering","LEAVE"
71,NA,111211,219,0,636157,447,26,NA,"very_unsat","very_high","never_thought","STAY"
3149,"one",21910,150,0,356072,208,15,13,"unsat","very_little","considering","LEAVE"
2234,"one",134423,79,0,695537,586,0,14,"very_unsat","little","no","STAY"
9528,"one",49885,61,62,876891,197,5,10,"very_sat","very_little","no","STAY"
8395,"one",85433,170,0,154524,307,29,12,"avg","little",NA,"LEAVE"
2284,"one",66211,155,38,217009,338,13,2,"very_sat","avg","considering","LEAVE"
5724,"zero",130995,192,NA,895898,562,23,1,"very_sat",NA,"actively_looking_into_it","LEAVE"
3417,"zero",31173,52,0,411879,243,5,9,"very_unsat","very_high","no","STAY"
4825,"zero",NA,69,0,NA,671,NA,12,"very_sat","little","actively_looking_into_it","LEAVE"
5773,"one",64202,157,0,451233,345,NA,15,"unsat","very_little",NA,"LEAVE"
10151,"one",55147,187,57,454246,274,22,1,"unsat","little","never_thought","LEAVE"
1889,"zero",152301,237,0,187556,807,1,NA,"unsat","very_little","actively_looking_into_it","LEAVE"
10209,"zero",36582,207,NA,929046,191,18,5,"avg",NA,NA,"STAY"
2293,NA,119681,207,77,566354,577,29,1,"very_unsat","little","actively_looking_into_it","STAY"
8944,NA,47971,192,84,NA,172,26,1,"unsat",NA,"never_thought","LEAVE"
3321,"one",122824,254,NA,923186,808,3,1,NA,"very_little","perhaps","LEAVE"
465,"one",68895,197,18,198354,315,10,12,"sat","little","considering","STAY"
9918,"zero",25622,88,12,217741,236,3,5,"avg","little","considering","STAY"
124,"zero",87450,229,84,202608,319,16,1,"very_unsat","little","considering","LEAVE"
8368,"one",28798,242,0,691497,640,1,15,"very_unsat","very_high","actively_looking_into_it","STAY"
4007,"one",89657,213,0,424196,304,21,11,"very_unsat","very_high","perhaps","LEAVE"
6086,"one",55039,57,0,731740,317,5,15,"sat","little","considering","STAY"
3504,"one",81787,50,0,880490,698,5,1,"very_sat","very_little",NA,"STAY"
9938,"one",81977,199,18,913538,296,12,6,"very_unsat","very_little","never_thought","STAY"
9745,"one",106353,146,22,444367,667,29,5,"very_sat","little","never_thought","LEAVE"
111,"zero",126718,61,0,343847,-492,4,NA,NA,"very_high","actively_looking_into_it","LEAVE"
4954,"zero",64760,210,NA,550915,291,15,NA,"avg","little","actively_looking_into_it","STAY"
10355,"one",79236,53,5,968065,326,4,6,"very_sat","little","actively_looking_into_it","LEAVE"
6828,"one",NA,229,11,580852,635,3,1,"very_unsat","very_high","considering","LEAVE"
3180,"one",94647,216,28,786748,339,12,2,"very_unsat","very_little","actively_looking_into_it","STAY"
2459,"one",144840,76,12,174444,874,5,11,"unsat","very_high","actively_looking_into_it","STAY"
7252,"zero",70223,182,37,666122,304,13,1,"very_unsat","little","actively_looking_into_it","STAY"
1353,"one",119399,74,NA,312175,490,NA,1,"avg","avg","considering","STAY"
7896,"zero",109745,59,NA,890120,536,3,5,NA,"very_high","no","STAY"
8606,NA,46110,174,NA,225583,247,28,13,"very_sat","very_little","actively_looking_into_it","LEAVE"
1302,"one",110682,49,0,515082,838,3,2,"avg","little","never_thought","LEAVE"
2868,"zero",37144,73,0,528821,232,5,1,"unsat","very_high","actively_looking_into_it","LEAVE"
3356,"one",77728,166,NA,435540,266,19,4,"very_unsat",NA,"perhaps","LEAVE"
615,"one",110471,42,7,409493,586,5,4,"very_unsat","very_little","perhaps","STAY"
4480,"one",84692,33,45,503204,300,3,NA,"very_sat","little","no","STAY"
2827,"zero",153416,64,33,391959,648,5,NA,"very_unsat",NA,"considering","LEAVE"
266,"one",30377,163,0,NA,154,19,NA,"very_unsat","little","considering","STAY"
5968,"zero",47623,51,86,867112,159,4,NA,"very_unsat","high","considering","STAY"
6960,"zero",NA,254,NA,530229,218,14,1,"unsat","very_little","actively_looking_into_it","LEAVE"
3057,NA,86719,214,0,273881,735,10,13,NA,"little","considering","LEAVE"
6552,"zero",39176,49,0,NA,234,4,NA,"very_unsat","little","considering","STAY"
9535,"one",60492,150,66,NA,308,1,2,"very_unsat",NA,"no","STAY"
1109,"one",151582,262,NA,324636,595,12,NA,"unsat","very_little","no","STAY"
1349,"one",79920,167,0,607687,335,29,NA,"unsat","very_little","no","STAY"
2806,"one",90515,62,0,659860,359,3,14,NA,"very_little","perhaps","STAY"
9560,"one",62569,156,0,NA,385,15,8,"very_sat",NA,"never_thought","STAY"
8914,"zero",58955,65,0,203404,396,4,14,"very_unsat",NA,"actively_looking_into_it","STAY"
9465,"one",120126,67,14,372710,437,5,NA,"very_unsat","little","considering","STAY"
2689,"zero",35065,48,0,279801,164,5,14,"avg","high","considering","LEAVE"
4266,"one",42781,53,85,NA,744,4,1,"very_sat","little","no","STAY"
4230,"one",62204,226,36,NA,379,17,2,NA,"little",NA,"LEAVE"
5064,"zero",NA,195,21,157305,479,21,6,"very_unsat",NA,"actively_looking_into_it","LEAVE"
6191,"one",83837,65,48,778925,285,12,2,"very_unsat","little","considering","STAY"
6333,"zero",93891,57,NA,914269,312,3,6,"unsat","little","actively_looking_into_it","STAY"
10467,NA,65908,179,6,242403,387,12,5,"sat","very_high",NA,"LEAVE"
5343,"one",102721,189,39,384962,549,23,1,"unsat","high","never_thought","LEAVE"
5793,"one",45769,210,0,212028,328,0,1,"very_sat","very_high","never_thought","LEAVE"
6198,"zero",42196,178,0,329349,220,19,8,"very_unsat","avg","actively_looking_into_it","LEAVE"
7454,"zero",56086,213,0,642784,319,22,13,"very_sat",NA,"actively_looking_into_it","LEAVE"
8327,"one",72092,54,24,865633,268,4,4,"unsat","very_high","considering","STAY"
7460,"zero",NA,209,56,327344,207,4,2,"very_unsat","very_little","actively_looking_into_it","LEAVE"
6429,"zero",125312,62,0,223623,639,4,12,"very_unsat","very_high","considering","STAY"
9600,"zero",114426,67,48,NA,879,3,1,"sat","high",NA,"STAY"
10106,"one",61308,210,5,764766,377,16,6,"unsat","very_little","never_thought","STAY"
2842,"one",NA,75,0,265928,200,NA,8,"very_unsat","very_high",NA,"LEAVE"
9756,"one",NA,200,NA,507369,281,23,NA,"unsat","little",NA,"LEAVE"
7514,"one",31094,45,0,227241,215,3,6,NA,"very_high","perhaps","LEAVE"
2056,"zero",127737,92,6,899461,520,5,5,"unsat","very_high","actively_looking_into_it","LEAVE"
5932,"zero",30593,198,0,NA,205,15,13,"very_sat","very_high","never_thought","LEAVE"
4643,"zero",34764,83,28,325917,217,5,2,"very_unsat","little","considering","LEAVE"
9275,"zero",45466,65,38,277514,228,3,2,NA,NA,NA,"LEAVE"
793,"one",45470,71,7,221959,197,NA,6,"very_unsat","very_little",NA,"STAY"
3510,NA,159101,178,7,NA,795,27,6,NA,NA,"actively_looking_into_it","LEAVE"
8853,"one",50763,212,0,215140,290,14,12,"very_unsat","very_high","never_thought","LEAVE"
4144,"zero",149084,212,0,482447,546,11,11,"very_unsat","little","considering","LEAVE"
9218,"zero",38291,179,7,233358,245,NA,4,"very_sat","little",NA,"LEAVE"
4373,"zero",52807,154,16,346070,298,25,NA,"very_unsat","little","actively_looking_into_it","LEAVE"
10685,"one",NA,84,0,642973,292,4,14,"very_sat","little","considering","STAY"
144,NA,153769,50,39,799356,781,3,4,NA,NA,"never_thought","LEAVE"
3688,"zero",135272,118,0,466720,847,21,9,"very_unsat","little",NA,"LEAVE"
4704,"zero",106844,50,0,562401,835,4,11,"very_sat","very_high","actively_looking_into_it","LEAVE"
7747,"zero",65916,52,NA,NA,322,5,13,"very_sat","little","no","LEAVE"
10095,NA,113773,58,NA,513885,465,4,5,"very_unsat","very_little","no","STAY"
9806,"zero",64239,53,86,NA,350,3,1,"unsat","little","considering","STAY"
5044,"one",104048,222,52,506062,636,17,1,"unsat","very_high","actively_looking_into_it","LEAVE"
10387,"one",154852,64,8,193153,296,5,6,"sat","very_high","actively_looking_into_it","LEAVE"
675,"zero",46633,57,15,496161,231,5,5,"very_unsat",NA,"perhaps","LEAVE"
2199,"one",49647,65,89,259809,161,4,1,"unsat",NA,"considering","LEAVE"
2881,"zero",67191,184,49,214960,336,26,2,"very_unsat","high","never_thought","LEAVE"
6819,"zero",149648,58,0,462736,811,NA,8,NA,"very_little","considering","LEAVE"
1581,"one",104711,185,NA,461394,600,23,10,"very_unsat","little","actively_looking_into_it","LEAVE"
646,"zero",72290,49,0,344933,291,NA,15,"very_unsat","very_little","no","STAY"
3891,"zero",133164,200,0,265884,866,24,12,"very_sat","little","considering","LEAVE"
5795,"zero",45854,165,0,225620,246,18,10,"very_unsat","very_high","considering","LEAVE"
1452,"one",89555,268,16,258729,310,NA,NA,"unsat",NA,"no","STAY"
3192,"zero",105302,45,0,449100,563,1,11,"very_unsat","little","actively_looking_into_it","STAY"
3026,"zero",40861,204,65,200056,206,11,8,"very_sat","very_high","actively_looking_into_it","LEAVE"
5863,"one",105727,75,8,970814,623,3,4,"avg","little","no","LEAVE"
9797,"one",45988,46,32,542890,143,5,2,"unsat","very_little","actively_looking_into_it","STAY"
8580,NA,68248,61,0,289962,267,NA,12,"avg","little",NA,"LEAVE"
329,"zero",NA,98,70,154359,375,5,1,"avg",NA,"no","STAY"
7268,"zero",28764,64,0,314913,583,1,13,NA,"very_little","never_thought","LEAVE"
5921,"one",116144,169,0,217500,755,24,10,"very_sat",NA,"actively_looking_into_it","LEAVE"
428,"zero",114461,200,28,775618,596,14,1,"very_sat","very_little","considering","LEAVE"
3994,"zero",121253,267,23,189286,236,28,10,"unsat","very_little","considering","STAY"
726,"one",154549,151,25,584036,785,14,NA,"very_unsat","very_little",NA,"LEAVE"
5816,"zero",146172,187,0,347237,527,0,10,"very_sat","little","no","LEAVE"
8214,"one",36576,63,30,232553,227,4,1,NA,"little",NA,"STAY"
3787,"zero",34312,230,54,597241,221,29,NA,"unsat","very_little","considering","LEAVE"
2701,"zero",31236,220,14,451647,243,23,NA,"very_unsat","little","never_thought","LEAVE"
6966,"zero",29674,52,46,874296,189,3,1,"unsat","little","considering","STAY"
8235,"zero",NA,218,59,604975,222,24,13,"very_sat","very_high","no","STAY"
8614,"zero",40746,82,19,690082,184,4,4,"avg","high",NA,"STAY"
6996,"one",153388,212,39,715210,820,10,2,"very_sat","little","considering","LEAVE"
2245,"one",117719,166,51,645017,788,NA,2,"very_sat","high","actively_looking_into_it","LEAVE"
9861,"zero",83339,78,24,269992,384,4,4,"very_sat","very_high","considering","LEAVE"
2577,"zero",120971,209,0,630873,613,16,NA,"unsat","very_little","considering","LEAVE"
4400,"one",27917,256,21,999294,158,16,4,"unsat",NA,"never_thought","STAY"
1220,"one",35325,238,16,777475,181,14,6,"avg","little","actively_looking_into_it","LEAVE"
45,"one",50871,232,32,608297,381,18,1,"unsat","very_little","actively_looking_into_it","STAY"
6059,"one",72002,173,0,469111,256,27,5,"very_unsat","little","never_thought","LEAVE"
3954,NA,35551,138,0,896854,151,28,12,"very_unsat","little","no","STAY"
6007,"one",133496,163,11,166179,864,10,NA,"avg","little","actively_looking_into_it","LEAVE"
6915,"one",45852,66,NA,298151,314,4,4,"unsat","very_little","never_thought","STAY"
10590,"zero",128932,244,0,458715,405,11,15,"very_sat","very_high","considering","LEAVE"
1533,"one",138631,55,NA,NA,745,4,6,"sat","little","never_thought","STAY"
3564,"zero",64003,62,NA,888432,277,5,4,"very_unsat","little","no","STAY"
9307,"one",135391,73,7,182001,882,4,4,"unsat","little","actively_looking_into_it","STAY"
3622,"zero",21705,60,85,311947,180,3,2,"very_unsat","very_high","never_thought","STAY"
1697,"zero",119512,51,31,248566,229,NA,2,"very_sat","very_high",NA,"LEAVE"
2117,"zero",25194,230,50,379762,189,21,NA,"very_unsat",NA,"considering","LEAVE"
8032,"zero",64387,69,0,291815,266,5,15,"very_sat","little","never_thought","STAY"
3254,"one",134961,84,62,188929,613,3,2,NA,"high","actively_looking_into_it","LEAVE"
9393,"one",NA,223,24,416690,535,28,4,"very_sat","very_little","never_thought","LEAVE"
6003,"one",38598,211,12,278067,217,23,6,"sat","little","considering","STAY"
8188,"one",81626,78,20,911072,343,5,1,"very_unsat","very_little","considering","STAY"
5818,"one",130355,62,81,279751,426,29,2,"very_unsat",NA,"no","LEAVE"
8683,"zero",80947,38,18,451342,296,NA,5,"very_sat","high","perhaps","STAY"
4464,"one",141303,60,67,400794,748,4,1,"very_unsat","little","actively_looking_into_it","STAY"
9109,"one",131116,71,15,709321,193,4,NA,"unsat","little","actively_looking_into_it","STAY"
5956,NA,60641,33,0,987364,397,3,12,"very_sat","little","never_thought","STAY"
1205,"zero",31923,182,13,NA,217,24,6,"very_unsat","very_high","considering","STAY"
8212,NA,70313,54,0,219557,287,4,NA,"very_sat","little","no","LEAVE"
2799,NA,144496,49,11,489039,581,NA,NA,"very_sat","little","considering","STAY"
9247,"zero",NA,175,0,582428,212,20,9,NA,"very_high","never_thought","LEAVE"
5514,"zero",69984,68,9,562815,318,10,4,"very_unsat","very_high","no","STAY"
4148,"zero",36705,58,69,553550,247,NA,1,NA,"little","considering","LEAVE"
6438,"one",NA,193,0,688775,506,28,13,"very_unsat",NA,"considering","LEAVE"
1484,"one",NA,216,81,618658,479,26,1,"very_unsat","avg","never_thought","LEAVE"
10492,"zero",114734,266,0,472230,820,16,NA,"unsat","little","actively_looking_into_it","LEAVE"
8120,NA,27260,213,0,583249,184,NA,12,"very_unsat","very_little","no","LEAVE"
9041,"zero",55391,148,67,NA,386,15,2,"very_unsat",NA,"considering","LEAVE"
5205,"one",NA,51,83,870949,258,24,2,"very_unsat",NA,"considering","STAY"
5375,"zero",35394,42,NA,252354,195,4,4,"very_unsat","very_high","actively_looking_into_it","STAY"
2763,"zero",NA,62,0,957555,160,5,NA,"avg","very_high","never_thought","STAY"
6468,"one",28547,57,87,453647,396,4,NA,"unsat","very_little","never_thought","LEAVE"
9281,NA,23215,72,0,278535,144,4,15,"unsat","little",NA,"STAY"
9098,NA,22120,174,0,711348,173,15,15,"very_sat","little",NA,"STAY"
1320,"one",27828,74,48,781198,213,NA,2,"very_sat","little","no","STAY"
3636,"one",25203,45,59,NA,168,0,2,"very_unsat","very_high","actively_looking_into_it","LEAVE"
1011,"one",60789,53,9,583721,305,3,5,"very_sat","very_little","considering","STAY"
3015,NA,129448,62,0,219837,449,3,15,"very_unsat","little","perhaps","LEAVE"
9042,"zero",44215,190,10,679200,182,24,6,"very_unsat","very_little","considering","STAY"
8507,"one",74889,206,68,222952,275,NA,1,"very_unsat","very_little","no","STAY"
4519,"one",45922,180,0,992861,140,26,12,"very_unsat","little","considering","LEAVE"
6944,"zero",66219,88,89,303764,366,1,2,"unsat","very_high","considering","STAY"
8574,"one",24882,53,21,462216,157,4,6,NA,"very_little","considering","LEAVE"
6571,"one",31394,58,0,252140,204,5,2,"very_unsat","little","considering","LEAVE"
5310,NA,76071,171,5,903744,290,28,1,"very_sat","little","actively_looking_into_it","STAY"
9190,"one",29634,77,37,571669,223,3,1,"unsat","very_little","considering","LEAVE"
321,"zero",32321,201,13,866916,247,23,NA,"very_unsat","little","actively_looking_into_it","STAY"
8348,"zero",48266,69,0,731877,633,4,11,"very_unsat","little","considering","STAY"
9754,"zero",39609,199,14,905268,143,20,4,"very_unsat",NA,"never_thought","STAY"
10412,"zero",118749,50,23,435396,662,5,6,"very_unsat","high","no","LEAVE"
8505,"zero",91573,216,0,238656,358,11,14,"very_unsat","very_little","never_thought","LEAVE"
3289,"zero",76992,31,81,882804,338,3,6,"very_unsat","very_high","considering","STAY"
9591,"zero",155032,181,8,615742,792,29,5,"avg",NA,"considering","STAY"
10100,"one",103605,50,76,322901,878,NA,1,NA,"high","never_thought","LEAVE"
2698,"one",157210,53,5,NA,853,5,4,"avg","very_little","actively_looking_into_it","LEAVE"
5183,"one",NA,196,88,194741,268,11,1,NA,"very_little","considering","STAY"
1456,"zero",74761,230,NA,NA,295,28,4,"very_unsat","very_high","perhaps","LEAVE"
3736,"one",146227,198,0,258180,779,5,10,"sat","little","actively_looking_into_it","LEAVE"
1545,"one",55676,68,NA,500101,261,22,4,"very_unsat","very_little","actively_looking_into_it","LEAVE"
5289,"zero",34062,67,22,821955,590,NA,4,"very_sat","very_high","no","LEAVE"
4910,"zero",51284,58,9,501032,760,5,6,"unsat","very_little","actively_looking_into_it","STAY"
4927,"one",29678,123,15,265936,216,13,5,"unsat",NA,"considering","LEAVE"
3235,"zero",45164,77,89,189004,220,NA,2,"unsat","very_high","no","LEAVE"
2727,"zero",141816,75,38,572972,567,0,1,"very_sat",NA,"no","STAY"
7386,"one",127065,200,10,771585,838,29,4,"very_unsat","very_little","considering","LEAVE"
1521,"zero",126692,60,0,302847,720,NA,9,"very_unsat","very_little","no","LEAVE"
9963,"one",121086,56,0,216997,874,NA,14,"avg","little","considering","LEAVE"
5326,NA,137795,54,30,323027,499,3,1,"very_unsat","high","considering","LEAVE"
5704,"one",91218,47,53,767857,634,4,1,"very_sat","little","actively_looking_into_it","STAY"
1089,NA,113603,248,30,996404,652,NA,NA,"very_unsat","little","considering","LEAVE"
5252,NA,112055,163,0,566611,363,20,14,"very_unsat","little","considering","LEAVE"
988,"one",70794,224,10,479887,292,24,4,NA,"high","never_thought","LEAVE"
4904,"zero",124392,65,0,692467,748,4,8,"very_unsat",NA,NA,"STAY"
7595,"one",57715,65,7,876928,272,3,5,NA,"very_little","considering","STAY"
4754,"one",144498,61,81,NA,723,5,1,"very_unsat","little","considering","LEAVE"
2639,"one",96886,169,68,425847,284,10,1,"very_unsat","very_high","never_thought","LEAVE"
8814,NA,100991,265,NA,365483,484,15,1,"unsat","little","actively_looking_into_it","STAY"
3400,"one",99548,235,0,238561,294,15,NA,"very_unsat","little","actively_looking_into_it","LEAVE"
6930,"one",106257,229,46,526926,766,27,NA,"very_sat","high","considering","LEAVE"
3325,"one",134928,55,22,NA,656,5,4,"very_unsat","very_little","never_thought","LEAVE"
6022,"one",34470,97,0,238910,169,26,10,NA,"high","considering","STAY"
5087,"one",88819,170,10,329735,278,25,NA,"very_unsat","very_high","considering","LEAVE"
6624,"one",49680,197,0,313599,206,3,NA,"very_unsat","avg","no","LEAVE"
5092,NA,59911,47,0,NA,374,5,8,"very_sat","little","actively_looking_into_it","STAY"
8545,"zero",122135,45,17,319450,781,NA,4,"very_unsat","very_little","considering","LEAVE"
10544,"zero",133161,244,0,NA,727,0,6,"sat","very_high","perhaps","LEAVE"
10481,"zero",66552,200,10,433568,341,23,6,"very_sat",NA,"never_thought","LEAVE"
8918,"one",126485,156,0,NA,701,25,8,"very_sat","little","considering","LEAVE"
1076,NA,83030,204,51,181353,341,25,2,"very_unsat","very_little","no","LEAVE"
8947,"zero",51970,227,5,396966,376,10,11,"very_unsat","very_little","considering","STAY"
543,NA,108526,251,0,363036,488,19,15,"very_unsat","little","actively_looking_into_it","LEAVE"
6280,"zero",33216,81,0,982038,134,1,10,"very_unsat","little","considering","STAY"
3220,NA,83384,36,0,178986,275,NA,12,"very_unsat",NA,"no","STAY"
8762,"one",42822,141,65,990942,187,20,2,NA,"very_little","no","STAY"
6374,"one",37835,73,56,833340,138,4,2,"very_unsat","little","no","STAY"
8790,"zero",NA,174,27,967115,232,29,1,"unsat","very_high","never_thought","STAY"
7145,"zero",152158,53,0,606375,769,1,NA,"very_unsat","little","perhaps","LEAVE"
9261,"zero",NA,32,14,226634,353,1,6,"unsat","avg","actively_looking_into_it","LEAVE"
5482,"zero",118087,77,35,313730,746,3,1,"unsat","very_little",NA,"LEAVE"
3368,"zero",42517,60,18,186228,213,5,6,"very_unsat","very_little","considering","STAY"
4635,"zero",68889,76,78,425590,449,5,2,"very_sat",NA,"considering","LEAVE"
9822,"one",70350,55,23,335654,344,4,4,"unsat","very_high","actively_looking_into_it","STAY"
665,"one",78695,190,0,279214,354,18,12,"very_unsat","very_little","actively_looking_into_it","LEAVE"
747,"one",96740,53,0,217982,347,5,9,"very_unsat","high","considering","STAY"
2978,"one",80646,220,25,866738,339,3,2,"unsat","little","no","STAY"
5762,"one",28776,60,8,590968,238,5,5,"very_unsat","high","considering","LEAVE"
6364,"zero",NA,186,22,894760,293,16,NA,"avg","very_high","actively_looking_into_it","STAY"
4884,NA,46060,39,0,572072,552,3,9,"unsat","little","actively_looking_into_it","LEAVE"
8832,"one",104968,87,16,444723,676,5,6,"very_sat","very_little",NA,"LEAVE"
511,"one",44589,77,0,778796,168,3,15,"very_sat",NA,"considering","LEAVE"
5522,"zero",52088,68,NA,918029,256,4,NA,"very_sat","little","considering","STAY"
8531,NA,69628,179,0,327905,287,21,9,NA,"little","considering","LEAVE"
9364,"zero",140911,70,18,799964,701,3,NA,"very_unsat","very_high","no","STAY"
1548,"zero",54124,40,16,235686,290,4,NA,"avg",NA,"never_thought","LEAVE"
188,"zero",135217,58,NA,566213,753,4,14,"very_unsat","little","never_thought","STAY"
4679,"zero",149895,217,0,521220,620,13,10,"unsat","little","perhaps","LEAVE"
6927,"one",40741,83,0,443704,158,4,14,"unsat","little","no","LEAVE"
5403,"one",47087,39,77,791312,178,5,NA,"very_sat","little","actively_looking_into_it","STAY"
1087,NA,151533,243,0,820469,357,5,8,"very_unsat","high","never_thought","LEAVE"
1344,"one",75364,150,0,353825,319,14,13,"very_sat",NA,"actively_looking_into_it","LEAVE"
9428,"zero",20157,54,0,191173,195,3,13,NA,"very_little","no","LEAVE"
9568,"one",140132,57,0,623426,526,3,8,"unsat","little","actively_looking_into_it","STAY"
7588,"zero",152335,177,16,821930,435,15,6,"unsat",NA,"considering","LEAVE"
966,"zero",153700,46,NA,328640,747,3,4,"unsat","very_high","actively_looking_into_it","STAY"
1468,"zero",96999,63,52,882174,208,5,2,"very_unsat",NA,"considering","LEAVE"
2649,"zero",104549,211,0,465968,816,NA,10,"very_sat",NA,"no","STAY"
8060,"one",23425,75,23,186354,212,3,5,"avg",NA,"considering","STAY"
2675,"zero",108129,191,14,605808,644,20,4,"avg","little","considering","LEAVE"
9370,"one",38109,232,16,182284,131,12,5,"very_unsat","very_little","considering","LEAVE"
2335,"one",23267,201,NA,834114,217,28,4,"very_sat","little","considering","STAY"
6891,"zero",NA,53,0,603267,199,3,14,"very_sat","very_little","considering","STAY"
221,"zero",71318,190,87,280486,645,21,1,"sat","high",NA,"LEAVE"
933,"one",33735,236,47,231220,227,27,1,"unsat",NA,NA,"LEAVE"
708,"zero",75902,67,29,NA,316,NA,1,"sat","little",NA,"LEAVE"
694,"zero",89003,41,17,208823,318,3,4,"unsat",NA,NA,"STAY"
4234,"one",33038,155,6,749125,709,0,5,"avg","little","considering","LEAVE"
6294,"zero",37562,184,0,656851,206,19,14,"unsat","very_high","no","LEAVE"
5426,"zero",88272,200,14,439320,336,27,4,NA,"high","considering","LEAVE"
9007,"one",34192,158,11,443543,222,4,5,"very_sat","avg","actively_looking_into_it","LEAVE"
5128,NA,145564,62,0,190213,564,4,8,NA,"high","never_thought","STAY"
9675,"zero",21909,75,0,NA,230,4,10,"sat","little","actively_looking_into_it","STAY"
6716,"one",NA,35,0,275588,360,5,8,"unsat","high","considering","LEAVE"
6205,NA,NA,60,NA,NA,364,4,4,"very_unsat","little","considering","STAY"
5458,"zero",31201,57,NA,998914,230,5,1,"very_unsat",NA,NA,"STAY"
5557,"one",27473,177,58,434930,241,23,2,"very_unsat","very_little","actively_looking_into_it","LEAVE"
10062,"zero",106073,58,0,934837,668,NA,10,"sat","little","never_thought","STAY"
