"COLLEGE","INCOME","OVERAGE","LEFTOVER","HOUSE","HANDSET_PRICE","OVER_15MINS_CALLS_PER_MONTH","AVERAGE_CALL_DURATION","REPORTED_SATISFACTION","REPORTED_USAGE_LEVEL","CONSIDERING_CHANGE_OF_PLAN","LEAVE","ID"
"zero",44778,228,0,284323,142,12,12,"very_sat","very_little","actively_looking_into_it","LEAVE",20000
"zero",158711,192,57,271701,557,3,1,"very_unsat","very_high","actively_looking_into_it","LEAVE",8132
"zero",28400,0,0,689580,234,1,12,"very_unsat","high","no","STAY",14622
"one",67761,0,46,155536,316,0,1,"sat","very_high","actively_looking_into_it","LEAVE",14134
"one",73437,0,0,484427,267,1,1,"very_sat","very_high","actively_looking_into_it","LEAVE",13803
"zero",45926,0,84,428431,210,1,2,"very_sat","very_high","no","STAY",14054
"one",48638,65,20,402284,206,1,6,"very_sat","little","no","LEAVE",19786
"one",40340,141,17,432798,159,25,5,"very_sat","little","actively_looking_into_it","STAY",16905
"zero",108537,85,0,524537,599,3,8,"very_sat","very_high","perhaps","LEAVE",11388
"zero",22456,159,0,918146,170,22,13,"unsat","high","considering","STAY",705
"zero",23157,47,85,982795,132,3,1,"very_sat","very_little","considering","LEAVE",7922
"zero",128501,264,0,234804,443,24,1,"very_unsat","little","no","LEAVE",10771
"zero",97307,0,14,959612,363,0,6,"very_sat","very_little","considering","STAY",15974
"zero",50833,0,21,594660,251,1,5,"very_sat","little","actively_looking_into_it","STAY",8825
"one",78021,192,50,421499,347,19,1,"very_sat","very_little","no","LEAVE",16057
"one",75175,191,0,417597,313,0,8,"sat","very_little","no","LEAVE",3426
"zero",147195,0,75,191946,856,0,2,"unsat","very_little","considering","LEAVE",3636
"one",31147,66,0,681793,237,5,15,"very_sat","high","considering","STAY",13354
"one",56674,219,84,290303,276,21,1,"unsat","high","considering","LEAVE",1204
"one",51168,56,13,952782,389,3,5,"very_unsat","very_little","never_thought","STAY",4743
"zero",72916,0,13,885028,322,0,4,"avg","little","perhaps","STAY",11270
"zero",53260,0,0,681359,251,0,11,"very_unsat","high","never_thought","STAY",467
"one",138378,0,0,540702,663,1,12,"very_sat","little","actively_looking_into_it","LEAVE",9538
"zero",149927,0,24,248402,571,1,6,"very_unsat","very_high","actively_looking_into_it","STAY",10311
"zero",101422,0,16,826824,696,1,4,"very_unsat","little","considering","STAY",5982
"zero",48223,85,0,381847,226,4,13,"very_unsat","little","considering","STAY",17921
"zero",91081,0,5,450941,158,0,4,"unsat","very_high","no","STAY",14699
"zero",45854,165,0,225620,246,18,10,"very_unsat","very_high","considering","LEAVE",17688
"zero",63237,34,43,262987,375,1,2,"avg","very_high","considering","STAY",8258
"zero",89901,0,81,459086,362,1,2,"very_unsat","very_high","considering","STAY",3784
"one",42767,0,0,233490,876,0,12,"very_unsat","little","considering","LEAVE",10262
"one",157785,0,5,493583,527,0,6,"very_sat","avg","actively_looking_into_it","STAY",3453
"one",126058,0,18,780160,732,0,4,"very_unsat","high","considering","STAY",1703
"one",97945,62,50,548752,348,4,2,"unsat","little","no","LEAVE",15860
"one",93467,0,60,170411,298,1,1,"very_sat","high","considering","STAY",4467
"one",141947,183,43,340596,602,19,2,"very_unsat","avg","actively_looking_into_it","LEAVE",16010
"zero",49451,61,9,180276,224,5,5,"unsat","very_little","actively_looking_into_it","LEAVE",5282
"zero",107621,0,34,396761,726,1,6,"very_sat","very_high","no","STAY",10047
"one",52600,0,45,234689,240,1,1,"very_sat","little","no","LEAVE",12742
"one",34677,67,0,567999,135,5,4,"very_unsat","very_high","never_thought","STAY",16706
"one",24112,0,0,377126,156,1,10,"very_unsat","little","perhaps","LEAVE",10030
"zero",21580,0,45,711952,224,1,2,"very_sat","little","never_thought","STAY",17131
"zero",132496,221,0,883651,588,24,11,"unsat","little","no","LEAVE",12683
"zero",48808,0,67,839720,191,1,1,"sat","high","considering","STAY",7362
"zero",137756,61,74,409455,698,3,4,"very_sat","little","never_thought","LEAVE",8905
"zero",72326,335,83,382487,271,19,1,"very_unsat","little","no","LEAVE",959
"one",120790,217,0,986519,616,23,9,"unsat","little","actively_looking_into_it","LEAVE",15422
"one",65763,227,17,963317,315,29,5,"very_unsat","very_high","considering","STAY",16561
"one",71286,0,0,389509,376,1,14,"sat","very_high","actively_looking_into_it","LEAVE",8356
"zero",21418,0,60,403079,219,1,2,"very_unsat","little","actively_looking_into_it","LEAVE",4414
"one",121967,54,16,181260,300,4,6,"sat","very_high","actively_looking_into_it","STAY",18746
"one",75958,0,0,171866,345,1,12,"very_unsat","little","no","STAY",15647
"one",24231,0,53,816694,164,1,9,"very_sat","very_little","considering","LEAVE",19079
"zero",88049,0,9,388943,395,1,5,"unsat","very_little","actively_looking_into_it","STAY",18036
"zero",34584,171,0,291291,240,20,8,"very_unsat","high","perhaps","LEAVE",17332
"one",90115,0,0,644247,268,1,9,"sat","little","never_thought","STAY",8454
"zero",138282,203,55,154933,410,22,2,"very_unsat","little","perhaps","LEAVE",8991
"zero",119082,0,26,233649,854,0,2,"very_unsat","very_high","considering","STAY",2520
"one",140452,0,0,635322,537,1,11,"very_sat","little","considering","STAY",19276
"one",50064,185,0,396984,379,23,10,"sat","very_high","no","LEAVE",12497
"one",49233,184,0,363027,142,16,15,"unsat","little","considering","STAY",3717
"one",47787,57,16,791237,160,3,5,"very_sat","very_high","never_thought","STAY",7857
"one",154961,171,24,466530,557,25,6,"very_unsat","very_high","considering","STAY",15335
"one",158962,0,85,817678,522,0,1,"very_unsat","very_little","no","LEAVE",6407
"one",66328,0,9,529997,377,16,6,"very_sat","high","considering","STAY",8920
"one",135960,174,88,323019,769,20,1,"very_sat","little","considering","LEAVE",13461
"one",82373,57,0,912410,306,5,14,"unsat","little","no","STAY",9035
"one",141501,236,10,303307,642,18,5,"very_sat","very_high","never_thought","LEAVE",9491
"one",122078,201,60,362588,565,18,2,"very_unsat","very_little","considering","LEAVE",13062
"one",73910,0,42,973039,331,0,2,"very_sat","avg","considering","STAY",12060
"one",72002,173,0,469111,256,27,5,"very_unsat","little","never_thought","LEAVE",8990
"zero",52474,0,0,289095,280,1,13,"very_unsat","very_high","considering","LEAVE",17761
"one",99173,160,42,190561,313,14,1,"sat","little","actively_looking_into_it","LEAVE",11121
"zero",116499,172,80,583319,673,22,2,"very_sat","high","considering","LEAVE",204
"one",56269,204,8,282788,281,1,9,"very_sat","little","considering","LEAVE",8910
"zero",25055,37,76,274597,501,4,1,"avg","little","no","STAY",7745
"zero",46853,67,80,220970,301,5,2,"very_sat","little","considering","STAY",12630
"one",88656,73,56,252850,251,3,2,"very_unsat","very_little","never_thought","LEAVE",3358
"one",75512,65,67,299006,135,5,1,"very_unsat","avg","actively_looking_into_it","LEAVE",11886
"one",151960,0,0,419697,454,0,8,"very_unsat","little","perhaps","LEAVE",14962
"zero",50093,160,44,287113,396,11,2,"very_unsat","very_high","never_thought","LEAVE",2022
"one",74701,60,0,468204,377,4,15,"very_sat","little","no","LEAVE",2080
"one",64207,49,66,272473,348,3,2,"unsat","very_little","no","LEAVE",14181
"one",122488,169,13,420024,420,25,5,"unsat","little","actively_looking_into_it","LEAVE",13848
"zero",46071,226,0,188831,245,27,14,"avg","little","considering","LEAVE",293
"one",118129,250,0,595407,782,23,11,"unsat","little","no","LEAVE",2594
"zero",67456,32,0,925177,144,5,12,"very_unsat","little","never_thought","LEAVE",14201
"zero",159860,63,11,861018,802,4,5,"avg","very_little","no","LEAVE",10906
"one",84495,220,0,519012,362,25,9,"unsat","little","considering","LEAVE",12471
"zero",109240,71,26,279529,373,4,1,"very_sat","little","no","STAY",16216
"zero",38396,194,44,608365,223,26,2,"very_sat","very_little","considering","STAY",13250
"zero",49215,140,50,318487,240,18,1,"unsat","little","considering","LEAVE",11673
"zero",74716,0,25,265324,310,0,2,"unsat","little","actively_looking_into_it","LEAVE",3231
"zero",105623,259,0,801479,717,13,14,"avg","very_little","actively_looking_into_it","STAY",18633
"zero",62835,0,0,518682,261,4,9,"unsat","very_high","no","LEAVE",11079
"zero",70011,199,0,484085,873,14,11,"very_unsat","little","considering","LEAVE",2738
"one",61006,233,8,506144,370,29,6,"unsat","little","considering","LEAVE",15116
"one",21910,150,0,356072,208,15,13,"unsat","very_little","considering","LEAVE",2529
"one",35947,0,7,259544,207,1,4,"avg","very_high","no","STAY",19865
"one",81813,0,0,350968,365,1,11,"very_unsat","very_little","no","STAY",3173
"one",136529,0,21,893230,800,1,6,"very_unsat","little","no","STAY",15585
"one",149627,0,34,832074,413,0,1,"very_unsat","little","actively_looking_into_it","STAY",8604
"one",71322,212,31,721399,307,16,2,"very_unsat","avg","perhaps","STAY",4426
"one",38373,0,0,250813,164,0,15,"very_sat","very_high","considering","LEAVE",18609
"zero",20165,0,0,376093,216,0,11,"very_unsat","little","actively_looking_into_it","STAY",6917
"one",22516,175,37,204094,333,5,1,"unsat","little","considering","STAY",17171
"zero",22782,210,17,697956,228,12,4,"very_unsat","very_little","never_thought","STAY",18558
"one",121693,54,0,821194,611,4,14,"very_unsat","very_little","considering","LEAVE",8740
"one",37330,44,78,767772,144,3,8,"unsat","very_high","no","STAY",9839
"one",55075,0,0,228047,330,0,9,"very_sat","very_high","actively_looking_into_it","LEAVE",19789
"zero",82673,0,0,506980,366,0,10,"very_sat","very_little","considering","LEAVE",10917
"zero",53302,191,24,980834,292,16,1,"very_unsat","very_little","considering","STAY",17995
"zero",96032,0,0,664453,352,NA,10,"unsat","little","considering","LEAVE",13391
"zero",156170,249,67,583018,226,23,2,"unsat","high","perhaps","STAY",10521
"one",87293,85,12,521506,368,3,6,"very_sat","very_high","no","LEAVE",13553
"one",93369,187,0,975421,277,13,11,"avg","very_high","actively_looking_into_it","STAY",16231
"one",150684,46,14,485325,523,4,4,"very_unsat","little","considering","LEAVE",1781
"one",40018,79,0,588761,837,5,10,"very_sat","high","considering","LEAVE",2528
"zero",138860,0,0,222956,377,0,8,"unsat","avg","considering","LEAVE",13526
"one",38233,258,11,633995,208,22,1,"unsat","very_little","actively_looking_into_it","STAY",17582
"one",57204,0,15,240967,349,1,6,"very_sat","little","actively_looking_into_it","STAY",16022
"zero",117132,55,7,947000,382,4,6,"very_unsat","little","no","STAY",5728
"zero",149860,178,12,255511,611,26,2,"very_sat","high","no","LEAVE",12918
"zero",107221,0,72,234357,700,0,1,"sat","very_high","considering","STAY",12246
"zero",155984,216,12,493012,761,19,1,"very_sat","very_high","actively_looking_into_it","LEAVE",7840
"zero",32447,63,10,233594,195,4,6,"very_unsat","little","considering","STAY",200
"one",113779,34,0,452428,784,22,12,"unsat","little","considering","LEAVE",3601
"zero",113449,192,0,222947,642,23,9,"unsat","very_high","no","LEAVE",3376
"zero",119844,0,19,282245,453,1,5,"sat","little","considering","STAY",644
"zero",73962,49,45,404640,339,5,2,"very_sat","little","considering","LEAVE",1009
"zero",94605,0,35,380292,352,0,1,"unsat","little","considering","LEAVE",18217
"one",121438,207,16,543255,603,1,6,"very_unsat","little","actively_looking_into_it","LEAVE",16035
"one",29380,0,51,623405,235,0,11,"very_sat","little","considering","STAY",15907
"zero",105485,241,13,327658,753,5,6,"avg","very_little","actively_looking_into_it","STAY",6717
"zero",33210,0,89,837778,188,0,1,"very_unsat","little","actively_looking_into_it","STAY",9
"one",35863,0,0,295202,196,1,4,"very_unsat","very_high","considering","LEAVE",16380
"one",108587,0,51,715579,863,1,1,"unsat","little","perhaps","LEAVE",3618
"zero",46946,0,0,167799,335,1,12,"unsat","very_high","no","LEAVE",2089
"zero",32016,183,42,862027,170,16,2,"very_unsat","very_little","never_thought","STAY",19178
"one",93230,65,25,837976,337,3,1,"very_unsat","little","considering","STAY",12702
"zero",49759,0,23,277038,131,1,6,"unsat","high","considering","STAY",8228
"one",109080,32,0,226371,876,5,9,"very_unsat","little","considering","LEAVE",8982
"one",74341,204,0,575243,349,21,13,"very_unsat","little","no","STAY",4324
"zero",82366,52,0,287934,246,3,2,"avg","very_little","considering","STAY",9151
"zero",72682,56,13,209549,316,4,5,"very_unsat","high","no","LEAVE",11954
"zero",123061,0,0,271233,727,0,10,"very_unsat","very_high","actively_looking_into_it","STAY",2639
"one",145452,0,21,527867,572,0,4,"very_unsat","avg","actively_looking_into_it","STAY",18553
"zero",58788,139,0,178358,317,3,10,"unsat","little","perhaps","STAY",665
"one",86719,214,0,273881,735,10,13,"very_unsat","little","considering","LEAVE",19101
"one",96329,0,16,315899,345,1,4,"avg","little","actively_looking_into_it","STAY",18516
"zero",39501,53,0,237504,169,3,13,"unsat","little","considering","LEAVE",15330
"zero",88886,0,12,880844,251,0,6,"unsat","little","considering","STAY",1293
"zero",47237,48,0,900390,190,4,14,"avg","little","actively_looking_into_it","STAY",14581
"one",55768,202,19,282916,312,21,6,"very_sat","little","never_thought","LEAVE",15729
"one",39706,0,0,921313,208,0,8,"sat","very_high","considering","STAY",12034
"one",45320,0,57,384760,239,1,2,"very_sat","high","actively_looking_into_it","STAY",10537
"zero",99075,0,7,560963,309,0,6,"unsat","very_high","no","STAY",17644
"one",28296,151,0,820080,194,1,12,"very_sat","little","actively_looking_into_it","STAY",13140
"zero",139169,80,0,170832,691,4,15,"very_sat","little","considering","LEAVE",9525
"one",42066,0,28,725171,224,1,2,"very_unsat","very_high","no","STAY",10420
"zero",35645,49,6,279485,162,5,6,"very_unsat","high","considering","STAY",13747
"zero",109499,0,11,744123,550,1,4,"unsat","little","considering","STAY",12831
"zero",48252,198,0,989594,364,19,14,"very_unsat","very_little","no","STAY",3952
"one",40327,43,50,155477,181,3,2,"very_unsat","high","considering","STAY",12483
"zero",143802,38,0,189880,406,4,13,"unsat","very_high","actively_looking_into_it","STAY",5727
"zero",38860,181,72,190087,330,25,2,"very_unsat","little","considering","LEAVE",8856
"one",26422,213,0,270151,245,27,14,"unsat","little","considering","STAY",13211
"zero",69684,0,33,979652,331,1,1,"sat","little","actively_looking_into_it","STAY",9303
"zero",136930,0,0,975513,848,1,10,"very_sat","very_little","considering","STAY",16065
"one",46644,190,0,280347,198,24,8,"very_unsat","high","never_thought","LEAVE",13408
"zero",25957,67,40,197754,185,4,1,"unsat","very_high","actively_looking_into_it","STAY",7123
"zero",66125,37,0,856850,335,4,14,"unsat","high","considering","STAY",12956
"zero",42006,149,18,915905,247,15,12,"very_unsat","little","actively_looking_into_it","STAY",6757
"one",37733,168,15,205728,246,19,5,"very_unsat","very_high","considering","STAY",17135
"zero",59699,0,11,183915,261,0,4,"very_unsat","very_high","considering","STAY",17239
"zero",118087,77,35,313730,746,3,1,"unsat","very_little","never_thought","LEAVE",619
"zero",74203,174,35,269405,349,24,2,"very_sat","little","actively_looking_into_it","LEAVE",14362
"one",96480,57,30,611683,361,3,2,"very_unsat","high","considering","STAY",12911
"one",92855,182,0,218592,251,12,12,"unsat","little","considering","LEAVE",10671
"one",141590,69,20,176498,268,4,4,"very_sat","high","no","STAY",5343
"zero",104828,0,0,225999,692,1,9,"very_unsat","very_high","considering","STAY",19390
"zero",85735,0,0,409747,385,0,15,"unsat","very_high","considering","STAY",4421
"zero",83886,0,52,462926,269,1,2,"unsat","very_little","actively_looking_into_it","STAY",13317
"zero",58051,0,6,463718,394,27,4,"very_sat","little","considering","STAY",7482
"one",23286,59,6,281858,135,3,6,"unsat","very_high","actively_looking_into_it","LEAVE",5454
"zero",94843,75,8,386008,269,3,5,"unsat","very_high","considering","LEAVE",2851
"zero",39126,162,7,691899,160,12,6,"very_sat","very_high","considering","STAY",4305
"zero",25634,0,0,591967,185,1,13,"very_unsat","little","considering","STAY",6046
"zero",153026,170,0,232263,421,21,15,"very_unsat","little","actively_looking_into_it","LEAVE",13417
"zero",21954,0,12,409798,231,1,4,"very_sat","very_high","considering","STAY",7932
"one",42218,0,61,736506,200,1,1,"very_sat","little","considering","STAY",13789
"zero",37187,55,23,571260,214,4,6,"very_unsat","very_little","never_thought","LEAVE",1821
"one",26857,0,7,200444,227,5,4,"very_sat","little","actively_looking_into_it","STAY",11229
"zero",93795,225,21,369393,292,19,5,"very_sat","little","perhaps","LEAVE",18952
"one",35164,0,54,825268,217,0,1,"unsat","little","considering","STAY",7137
"zero",48038,201,0,702555,217,0,4,"avg","very_little","never_thought","STAY",5893
"zero",41946,187,0,222833,195,1,14,"very_unsat","very_high","considering","LEAVE",5411
"zero",92244,0,11,240074,315,4,6,"very_unsat","little","actively_looking_into_it","STAY",1070
"zero",46647,66,0,310766,171,4,15,"very_unsat","high","actively_looking_into_it","LEAVE",8751
"zero",116559,0,19,458241,467,1,4,"unsat","very_high","considering","STAY",6254
"one",47167,57,0,698119,137,3,15,"very_sat","very_high","no","STAY",2725
"zero",139179,0,9,853511,644,1,6,"very_unsat","very_high","never_thought","STAY",2511
"zero",90946,0,0,447348,252,1,11,"very_unsat","very_high","actively_looking_into_it","LEAVE",15757
"one",97821,65,32,266006,392,3,1,"unsat","very_high","actively_looking_into_it","LEAVE",995
"one",83518,0,0,955038,375,1,9,"unsat","little","actively_looking_into_it","STAY",4038
"one",62971,253,69,315231,292,13,6,"unsat","very_high","never_thought","LEAVE",4917
"zero",111319,0,11,299768,433,0,4,"unsat","very_high","considering","STAY",14337
"one",44987,251,69,594164,291,26,1,"very_unsat","little","considering","STAY",12445
"one",106151,0,7,367402,762,1,6,"very_unsat","little","no","STAY",5645
"one",138642,0,17,501837,805,0,4,"unsat","very_little","no","STAY",1277
"zero",117475,0,0,238743,596,0,15,"avg","very_little","actively_looking_into_it","LEAVE",4029
"one",24788,223,81,280674,147,23,2,"very_unsat","very_high","considering","LEAVE",8613
"one",86909,53,0,272494,333,3,9,"very_sat","very_high","considering","LEAVE",447
"one",21652,58,0,257201,232,3,12,"very_sat","little","actively_looking_into_it","LEAVE",14222
"zero",32363,208,14,952661,149,10,4,"very_unsat","little","considering","LEAVE",18718
"one",108526,251,0,363036,488,19,15,"very_unsat","little","actively_looking_into_it","LEAVE",8127
"one",77029,77,32,152254,312,5,1,"unsat","little","considering","LEAVE",17966
"zero",100253,0,23,176085,791,11,12,"very_unsat","little","actively_looking_into_it","STAY",5142
"zero",40432,0,36,564882,214,0,2,"sat","very_little","perhaps","LEAVE",5725
"zero",153688,59,0,270109,158,3,11,"avg","very_high","never_thought","STAY",14813
"one",44849,0,80,254233,138,1,1,"very_unsat","little","actively_looking_into_it","LEAVE",7657
"one",37150,144,0,590227,199,27,8,"very_unsat","very_little","actively_looking_into_it","LEAVE",12746
"zero",45932,244,19,196132,167,27,5,"very_unsat","very_little","never_thought","LEAVE",1660
"zero",134958,187,31,875853,350,19,1,"very_unsat","little","never_thought","LEAVE",13146
"one",44713,0,70,244136,229,1,1,"very_sat","high","actively_looking_into_it","STAY",17905
"zero",40729,199,8,158814,243,29,6,"very_unsat","very_little","perhaps","STAY",19918
"one",34105,174,0,487551,623,21,9,"very_unsat","little","no","LEAVE",967
"one",83641,45,0,803803,258,5,15,"very_sat","avg","considering","STAY",7163
"zero",116083,74,0,547282,273,4,11,"very_unsat","very_high","considering","LEAVE",2207
"one",83557,0,0,656989,323,0,1,"very_unsat","high","considering","STAY",8101
"zero",61188,79,18,421811,292,1,4,"very_unsat","very_high","considering","STAY",12505
"one",22532,52,0,178782,200,4,12,"very_unsat","little","considering","LEAVE",11047
"one",49309,0,6,728622,194,25,5,"very_sat","very_high","considering","LEAVE",16453
"zero",157153,86,23,161862,553,3,4,"avg","little","considering","STAY",19894
"zero",34090,43,23,961544,237,3,5,"very_unsat","little","actively_looking_into_it","STAY",18213
"zero",64411,0,35,193719,269,0,1,"unsat","very_high","actively_looking_into_it","LEAVE",9347
"one",107332,63,22,892213,697,5,4,"very_unsat","little","considering","LEAVE",327
"zero",21308,0,61,264309,222,1,1,"very_sat","very_little","no","LEAVE",13392
"one",102019,0,0,422561,242,1,9,"unsat","little","considering","LEAVE",5460
"zero",96897,0,0,918261,296,1,9,"very_sat","little","considering","STAY",15649
"one",135341,0,60,159237,488,0,1,"very_sat","little","no","LEAVE",16837
"one",58042,0,73,229151,356,1,1,"very_sat","very_high","no","STAY",1444
"one",30240,49,76,805421,146,5,1,"unsat","very_high","no","STAY",16284
"one",150656,208,12,293395,655,27,5,"sat","little","considering","LEAVE",10359
"zero",79462,49,54,945741,305,5,2,"very_sat","very_high","no","STAY",3887
"one",84903,0,34,908873,356,3,1,"very_unsat","very_high","never_thought","STAY",3918
"one",107357,86,0,365969,686,3,5,"very_unsat","very_high","no","LEAVE",226
"one",52679,234,24,864408,310,26,5,"very_sat","very_little","actively_looking_into_it","STAY",13292
"one",134857,0,42,984253,621,0,1,"very_unsat","little","actively_looking_into_it","LEAVE",11055
"one",139703,0,9,186948,675,0,12,"sat","avg","actively_looking_into_it","STAY",15495
"zero",75776,174,0,258731,214,27,8,"very_unsat","little","considering","STAY",4485
"one",20074,0,47,855816,180,5,1,"very_sat","little","considering","STAY",17069
"zero",49514,68,12,344518,194,5,10,"unsat","very_high","perhaps","LEAVE",13051
"one",36939,212,6,685586,155,12,4,"avg","little","considering","STAY",14324
"zero",74436,0,75,699935,270,3,15,"very_unsat","high","considering","STAY",4680
"one",59617,270,12,560653,270,10,6,"very_sat","little","no","LEAVE",10209
"one",152569,194,0,929031,794,20,5,"very_unsat","little","considering","LEAVE",8081
"one",93831,0,0,210389,283,0,11,"unsat","little","no","LEAVE",8997
"one",27911,238,20,601816,221,15,6,"very_unsat","little","considering","STAY",10471
"one",21175,63,0,285961,237,5,15,"very_unsat","little","never_thought","STAY",8488
"zero",80840,93,15,647834,344,5,9,"very_unsat","little","considering","STAY",1223
"one",31585,216,69,921602,186,18,1,"very_sat","very_little","considering","LEAVE",2449
"zero",83525,246,53,308636,2000234,27,1,"unsat","very_high","no","LEAVE",14137
"zero",89564,0,9,305225,391,1,1,"very_unsat","little","never_thought","STAY",2883
"one",147165,0,78,419701,648,4,1,"very_unsat","high","considering","STAY",14997
"zero",133961,0,0,886270,479,0,12,"unsat","very_little","never_thought","LEAVE",13306
"one",147735,51,9,164919,718,5,4,"very_unsat","little","considering","STAY",14586
"one",27081,225,33,516331,185,4,2,"very_sat","very_little","actively_looking_into_it","STAY",14548
"zero",112642,0,31,236771,702,0,1,"very_unsat","avg","no","LEAVE",12022
"one",149439,225,48,753702,185,23,1,"very_sat","little","no","LEAVE",5401
"zero",64758,0,0,864915,295,1,9,"unsat","little","considering","STAY",7469
"one",156142,54,0,867904,728,5,12,"very_sat","very_high","considering","STAY",7203
"one",152317,0,0,801673,409,0,8,"very_unsat","high","considering","LEAVE",5452
"zero",68550,194,0,296817,313,0,9,"very_unsat","very_high","actively_looking_into_it","LEAVE",7424
"zero",83780,190,0,855056,360,15,13,"very_unsat","little","no","STAY",6549
"zero",123601,64,0,301160,505,3,8,"unsat","little","perhaps","STAY",9956
"zero",20363,60,0,301830,148,4,11,"avg","very_little","actively_looking_into_it","STAY",2938
"one",28471,207,0,522977,148,1,12,"very_unsat","little","considering","STAY",14841
"one",27745,74,0,314576,190,4,13,"very_unsat","very_high","no","LEAVE",4293
"one",132117,197,0,243244,728,1,10,"very_sat","very_high","considering","LEAVE",2371
"one",137725,0,18,554830,694,0,6,"unsat","very_high","never_thought","STAY",1439
"one",87003,86,0,272147,383,11,9,"very_unsat","very_high","never_thought","LEAVE",111
"zero",93774,0,42,688511,332,0,2,"very_sat","little","considering","LEAVE",622
"one",79106,66,0,548254,373,5,13,"unsat","little","considering","STAY",5657
"zero",61967,0,23,601420,288,3,5,"very_unsat","little","considering","STAY",3518
"one",94200,0,0,278560,322,0,14,"unsat","high","considering","STAY",18806
"one",67506,72,15,944092,254,3,4,"unsat","very_high","never_thought","LEAVE",11594
"one",68505,61,9,217143,327,5,4,"unsat","very_high","actively_looking_into_it","LEAVE",11285
"one",122882,241,18,442458,787,5,6,"very_unsat","very_high","no","LEAVE",955
"one",97475,0,10,983850,371,0,4,"very_sat","very_little","considering","STAY",5730
"one",93794,0,0,479487,269,0,11,"very_unsat","little","actively_looking_into_it","STAY",13340
"one",30828,0,59,269041,219,5,11,"very_unsat","little","never_thought","LEAVE",3731
"one",129074,0,0,798650,532,0,8,"very_unsat","little","considering","LEAVE",404
"one",139775,0,0,480540,743,0,14,"very_sat","little","considering","LEAVE",19184
"zero",145565,0,20,367822,852,1,4,"very_sat","little","considering","LEAVE",13876
"one",140078,0,18,284312,593,1,5,"avg","very_high","actively_looking_into_it","STAY",14561
